,ICD9_Code,CUI,name
119,22.51,C0189123,Ethmoidotomy
120,22.52,C0189124,Sphenoidotomy
121,22.53,C0176385,Incision of multiple nasal sinuses
122,22.61,C0189137,Excision of lesion of maxillary sinus with Caldwell-Luc approach
123,22.62,C0176388,Excision of lesion of maxillary sinus with other approach
124,22.63,C0189149,Ethmoidectomy
125,22.64,C0189156,Sphenoidectomy
126,22.71,C0189193,Closure of nasal sinus fistula
127,223.3,C0154017,Benign neoplasm of bladder
128,227.1,C0154041,Benign neoplasm of parathyroid gland
129,23,C0161874,Removal and restoration of teeth
130,23.09,C0176392,Extraction of other tooth
131,23.19,C0176395,Other surgical extraction of tooth
132,23.2,C0176396,Restoration of tooth by filling
133,23.41,C0003626,Application of crown
134,23.49,C0176398,Other dental restoration
135,23.70,C0035849,"Root canal, not otherwise specified"
136,232.0,C0154074,Carcinoma in situ of skin of lip
137,232.2,C0347139,Carcinoma in situ of skin of ear and external auditory canal
138,232.3,C0154077,Carcinoma in situ of skin of other and unspecified parts of face
139,232.4,C0154078,Carcinoma in situ of scalp and skin of neck
140,232.5,C0154079,"Carcinoma in situ of skin of trunk, except scrotum"
141,232.6,C0154080,"Carcinoma in situ of skin of upper limb, including shoulder"
142,238.7,C0027632,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues
143,238.71,C0040028,Essential thrombocythemia
144,239.2,C0154132,"Neoplasm of unspecified nature of bone, soft tissue, and skin"
145,24,C0161875,"Other operations on teeth, gums, and alveoli"
146,24.31,C2223867,Excision of lesion or tissue of gum
147,24.5,C0002393,Alveoloplasty
148,242.90,C0154154,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
149,244.9,C0020676,Unspecified acquired hypothyroidism
150,246.9,C0040128,Unspecified disorder of thyroid
151,25.51,C0017680,Suture of laceration of tongue
152,25.59,C0176421,Other repair and plastic operations on tongue
153,250.00,C0375113,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
154,250.01,C0375114,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
155,250.02,C0375115,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
156,250.03,C0375116,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
157,250.12,C0375119,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
158,250.13,C0375120,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
159,250.40,C0375130,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
160,250.41,C0375131,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
161,250.50,C0375134,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
162,250.51,C0375135,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
163,250.60,C0375137,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
164,250.61,C0375138,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
165,250.62,C0375139,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
166,250.70,C0375141,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
167,250.71,C0375142,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
168,250.72,C0375143,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
169,250.73,C0375144,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled"
170,250.80,C0375145,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
171,250.81,C0375146,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
172,250.82,C0375147,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
173,252.0,C0020502,Hyperparathyroidism
174,253.5,C0011848,Diabetes insipidus
175,253.6,C0029593,Other disorders of neurohypophysis
176,255.41,C1955741,Glucocorticoid deficiency
177,261,C0086588,Nutritional marasmus
178,262,C0267981,Other severe protein-calorie malnutrition
179,263.9,C0033677,Unspecified protein-calorie malnutrition
180,266.2,C0029523,Other B-complex deficiencies
181,269.9,C0162429,Unspecified nutritional deficiency
182,27.23,C0191987,Biopsy of lip
183,27.24,C0161878,"Biopsy of mouth, unspecified structure"
184,27.42,C0176442,Wide excision of lesion of lip
185,27.43,C0176443,Other excision of lesion or tissue of lip
186,27.49,C0176444,Other excision of mouth
187,27.51,C0176445,Suture of laceration of lip
188,27.52,C0176446,Suture of laceration of other part of mouth
189,27.55,C0176447,Full-thickness skin graft to lip and mouth
190,27.59,C0176449,Other plastic repair of mouth
191,27.69,C0176450,Other plastic repair of palate
192,272.0,C0678189,Pure hypercholesterolemia
193,272.1,C0020480,Pure hyperglyceridemia
194,272.2,C0020474,Mixed hyperlipidemia
195,272.4,C0348494,Other and unspecified hyperlipidemia
196,272.5,C0020623,Lipoprotein deficiencies
197,272.9,C0154251,Unspecified disorder of lipoid metabolism
198,274.0,C0003868,Gouty arthropathy
199,274.9,C0018099,"Gout, unspecified"
200,275.49,C0489982,Other disorders of calcium metabolism
201,276.0,C0342580,Hyperosmolality and/or hypernatremia
202,276.1,C0020645,Hyposmolality and/or hyponatremia
203,276.2,C0001122,Acidosis
204,276.4,C0154264,Mixed acid-base balance disorder
205,276.5,C0546884,Volume depletion
206,276.51,C0011175,Dehydration
207,276.52,C0546884,Hypovolemia
208,276.6,C0546817,Fluid overload
209,276.7,C0020461,Hyperpotassemia
210,276.8,C0020621,Hypopotassemia
211,277.9,C0025517,Unspecified disorder of metabolism
212,278.00,C0028754,"Obesity, unspecified"
213,278.01,C0028756,Morbid obesity
214,28.2,C0040423,Tonsillectomy without adenoidectomy
215,280.0,C0154286,Iron deficiency anemia secondary to blood loss (chronic)
216,280.9,C0162316,"Iron deficiency anemia, unspecified"
217,282.49,C0477306,Other thalassemia
218,283.0,C0002880,Autoimmune hemolytic anemias
219,283.19,C0375155,Other non-autoimmune hemolytic anemias
220,284.1,C0030312,Pancytopenia
221,284.12,C3161074,Other drug-induced pancytopenia
222,284.8,C0029745,Other specified aplastic anemias
223,284.9,C0002874,"Aplastic anemia, unspecified"
224,285.1,C0154298,Acute posthemorrhagic anemia
225,285.21,C1561828,Anemia in chronic kidney disease
226,285.29,C1719324,Anemia of other chronic disease
227,285.9,C0002871,"Anemia, unspecified"
228,286.6,C0012739,Defibrination syndrome
229,286.9,C0029496,Other and unspecified coagulation defects
230,287.4,C0154301,Secondary thrombocytopenia
231,287.5,C0040034,"Thrombocytopenia, unspecified"
232,288.8,C0477318,Other specified disease of white blood cells
233,29.11,C0192232,Pharyngoscopy
234,29.12,C0192210,Pharyngeal biopsy
235,29.4,C0176465,Plastic operation on pharynx
236,291.0,C0001957,Alcohol withdrawal delirium
237,291.2,C0236656,Alcohol-induced persisting dementia
238,292.84,C1998428,Drug-induced mood disorder
239,292.89,C0154325,Other specified drug-induced mental disorders
240,293.0,C1456296,Delirium due to conditions classified elsewhere
241,294.10,C0878691,Dementia in conditions classified elsewhere without behavioral disturbance
242,294.20,C3161078,"Dementia, unspecified, without behavioral disturbance"
243,294.8,C0154338,Other persistent mental disorders due to conditions classified elsewhere
244,295.14,C0154347,"Disorganized type schizophrenia, chronic with acute exacerbation"
245,295.60,C0036351,"Schizophrenic disorders, residual type, unspecified"
246,295.70,C0036337,"Schizoaffective disorder, unspecified"
247,295.90,C0036341,"Unspecified schizophrenia, unspecified"
248,296.20,C0024517,"Major depressive affective disorder, single episode, unspecified"
249,296.22,C0154404,"Major depressive affective disorder, single episode, moderate"
250,296.30,C0154409,"Major depressive affective disorder, recurrent episode, unspecified"
251,296.80,C0005586,"Bipolar disorder, unspecified"
252,298.9,C0033975,Unspecified psychosis
253,299.00,C0154446,"Autistic disorder, current or active state"
254,30.09,C0176471,Other excision or destruction of lesion or tissue of larynx
255,30.9,,
256,300.00,C0700613,"Anxiety state, unspecified"
257,300.9,C0041857,Unspecified nonpsychotic mental disorder
258,301.9,C0031212,Unspecified personality disorder
259,303.00,C0812429,"Acute alcoholic intoxication in alcoholism, unspecified"
260,303.90,C0154474,"Other and unspecified alcohol dependence, unspecified"
261,303.91,C0154475,"Other and unspecified alcohol dependence, continuous"
262,304.01,C0154478,"Opioid type dependence, continuous"
263,304.11,C0154482,"Sedative, hypnotic or anxiolytic dependence, continuous"
264,304.20,C0600427,"Cocaine dependence, unspecified"
265,304.30,C0375174,"Cannabis dependence, unspecified"
266,304.70,C0375176,"Combinations of opioid type drug with any other drug dependence, unspecified"
267,305.00,C0085762,"Alcohol abuse, unspecified"
268,305.01,C1812624,"Alcohol abuse, continuous"
269,305.1,C0040336,Tobacco use disorder
270,305.60,C0009171,"Cocaine abuse, unspecified"
271,305.90,C0154544,"Other, mixed, or unspecified drug abuse, unspecified"
272,305.93,C0154547,"Other, mixed, or unspecified drug abuse, in remission"
273,31.1,C0039492,Temporary tracheostomy
274,31.29,C0176475,Other permanent tracheostomy
275,31.42,C0023073,Laryngoscopy and other tracheoscopy
276,31.43,C0868779,Closed [endoscopic] biopsy of larynx
277,31.5,C0176484,Local excision or destruction of lesion or tissue of trachea
278,31.74,C0189427,Revision of tracheostomy
279,31.75,C0176491,Reconstruction of trachea and construction of artificial larynx
280,311,C0868892,"Depressive disorder, not elsewhere classified"
281,315.9,C0424605,Unspecified delay in development
282,318.0,C0026351,Moderate intellectual disabilities
283,318.1,C0036857,Severe intellectual disabilities
284,319,C3161331,Unspecified intellectual disabilities
285,321.0,C0085436,Cryptococcal meningitis
286,327.23,C0520679,Obstructive sleep apnea (adult)(pediatric)
287,33.1,C0189471,Incision of lung
288,33.20,C0521221,Thoracoscopic lung biopsy
289,33.21,C0176510,Bronchoscopy through artificial stoma
290,33.22,C0189391,Fiber-optic bronchoscopy
291,33.23,C0029526,Other bronchoscopy
292,33.24,C0176511,Closed [endoscopic] biopsy of bronchus
293,33.27,C0176513,Closed endoscopic biopsy of lung
294,33.28,C0176514,Open biopsy of lung
295,331.0,C0002395,Alzheimer's disease
296,331.4,C0549423,Obstructive hydrocephalus
297,331.9,C0154671,"Cerebral degeneration, unspecified"
298,332.0,C0030567,Paralysis agitans
299,336.9,C0037928,Unspecified disease of spinal cord
300,337.0,C0154690,Idiopathic peripheral autonomic neuropathy
301,337.1,C0154691,Peripheral autonomic neuropathy in disorders classified elsewhere
302,34,C0161888,"Operations on chest wall, pleura, mediastinum, and diaphragm"
303,34.02,C0175759,Exploratory thoracotomy
304,34.03,C2243036,Reopening of recent thoracotomy site
305,34.04,C0371436,Insertion of intercostal catheter for drainage
306,34.09,C0029641,Other incision of pleura
307,34.23,C1261309,Biopsy of chest wall
308,34.24,C1955763,Other pleural biopsy
309,34.4,C0176536,Excision or destruction of lesion of chest wall
310,34.51,C0176537,Decortication of lung
311,34.6,C0189557,Scarification of pleura
312,34.91,C0189477,Thoracentesis
313,340,C0026769,Multiple sclerosis
314,342.90,C0375218,"Hemiplegia, unspecified, affecting unspecified side"
315,343.2,C0154697,Congenital quadriplegia
316,343.9,C0392549,"Infantile cerebral palsy, unspecified"
317,344.00,C0034372,"Quadriplegia, unspecified"
318,344.1,C0030486,Paraplegia
319,345.50,C0154714,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
320,345.90,C0154721,"Epilepsy, unspecified, without mention of intractable epilepsy"
321,348.1,C0003132,Anoxic brain damage
322,348.3,C0085584,"Encephalopathy, not elsewhere classified"
323,348.31,C0006112,Metabolic encephalopathy
324,348.39,C1260408,Other encephalopathy
325,348.5,C0006114,Cerebral edema
326,349.2,C0795685,"Disorders of meninges, not elsewhere classified"
327,349.82,C0149504,Toxic encephalopathy
328,35.14,C0190117,Open heart valvuloplasty of tricuspid valve without replacement
329,35.21,C3161351,Open and other replacement of aortic valve with tissue graft
330,35.23,C3161353,Open and other replacement of mitral valve with tissue graft
331,35.24,C3161354,Open and other replacement of mitral valve
332,354.0,C0007286,Carpal tunnel syndrome
333,354.2,C1288279,Lesion of ulnar nerve
334,355.9,C0235880,Mononeuritis of unspecified site
335,356.1,C0007959,Peroneal muscular atrophy
336,356.9,C0859673,Unspecified hereditary and idiopathic peripheral neuropathy
337,357.2,C0271680,Polyneuropathy in diabetes
338,358.00,C1260409,Myasthenia gravis without (acute) exacerbation
339,359.1,C4551827,Hereditary progressive muscular dystrophy
340,36,C0190189,Operations on vessels of heart
341,36.01,,
342,36.02,,
343,36.04,C0190205,Intracoronary artery thrombolytic infusion
344,36.05,,
345,36.06,C0521232,Insertion of non-drug-eluting coronary artery stent(s)
346,36.07,C1135452,Insertion of drug-eluting coronary artery stent(s)
347,36.09,C0176587,Other removal of coronary artery obstruction
348,36.11,C0190224,(Aorto)coronary bypass of one coronary artery
349,36.12,C0190228,(Aorto)coronary bypass of two coronary arteries
350,36.13,C0190232,(Aorto)coronary bypass of three coronary arteries
351,36.14,C0190236,(Aorto)coronary bypass of four or more coronary arteries
352,36.15,C0021781,Single internal mammary-coronary artery bypass
353,360.30,C0028841,"Hypotony of eye, unspecified"
354,361.00,C0154808,"Retinal detachment with retinal defect, unspecified"
355,361.01,C0154809,"Recent retinal detachment, partial, with single defect"
356,361.33,C0154827,Multiple defects of retina without detachment
357,361.81,C0154828,Traction detachment of retina
358,361.89,C0339440,Other forms of retinal detachment
359,361.9,C0035305,Unspecified retinal detachment
360,362.01,C0004606,Background diabetic retinopathy
361,362.02,C0154830,Proliferative diabetic retinopathy
362,362.10,C0004608,"Background retinopathy, unspecified"
363,362.29,C0154838,Other nondiabetic proliferative retinopathy
364,362.35,C0154841,Central retinal vein occlusion
365,362.50,C0242383,"Macular degeneration (senile), unspecified"
366,362.54,C1261331,"Macular cyst, hole, or pseudohole"
367,362.56,C0339543,Macular puckering
368,362.63,C0154856,Lattice degeneration
369,362.81,C0035317,Retinal hemorrhage
370,362.89,C0339438,Other retinal disorders
371,363.20,C0008513,"Chorioretinitis, unspecified"
372,363.30,C0008512,"Chorioretinal scar, unspecified"
373,364.3,C0022073,Unspecified iridocyclitis
374,364.41,C0020582,Hyphema of iris and ciliary body
375,364.42,C0154916,Rubeosis iridis
376,364.71,C0152253,Posterior synechiae of iris
377,364.72,C0152252,Anterior synechiae of iris
378,365.00,C0549470,"Preglaucoma, unspecified"
379,365.11,C0339573,Primary open angle glaucoma
380,365.89,C0029802,Other specified glaucoma
381,365.9,C0017601,Unspecified glaucoma
382,366.10,C0036646,"Senile cataract, unspecified"
383,366.14,C0154979,Posterior subcapsular polar senile cataract
384,366.15,C0154980,Cortical senile cataract
385,366.16,C0271166,Senile nuclear sclerosis
386,366.17,C3665439,Total or mature cataract
387,366.9,C0086543,Unspecified cataract
388,368.46,C0271202,Homonymous bilateral field defects
389,368.8,C0029844,Other specified visual disturbances
390,368.9,C0547030,Unspecified visual disturbance
391,369.60,C0392578,"Profound impairment, one eye, impairment level not further specified"
392,37.21,C0189896,Right heart cardiac catheterization
393,37.22,C0189897,Left heart cardiac catheterization
394,37.23,C0189898,Combined right and left heart cardiac catheterization
395,37.24,C0191244,Biopsy of pericardium
396,37.25,C0189784,Biopsy of heart
397,37.26,C0199551,Catheter based invasive electrophysiologic testing
398,37.27,C0199553,Cardiac mapping
399,37.29,C0176595,Other diagnostic procedures on heart and pericardium
400,37.34,C2921041,"Excision or destruction of other lesion or tissue of heart, endovascular approach"
401,37.49,C1561900,Other repair of heart and pericardium
402,37.61,C0176599,Implant of pulsation balloon
403,37.71,C0176604,Initial insertion of transvenous lead [electrode] into ventricle
404,37.72,C0189824,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
405,37.74,C0176607,Insertion or replacement of epicardial lead [electrode] into epicardium
406,37.75,C0189831,Revision of lead [electrode]
407,37.77,C0189887,Removal of lead(s) [electrode] without replacement
408,37.78,C0176611,Insertion of temporary transvenous pacemaker system
409,37.79,C1561901,Revision or relocation of cardiac device pocket
410,37.81,C0189846,"Initial insertion of single-chamber device, not specified as rate responsive"
411,37.83,C0189848,Initial insertion of dual-chamber device
412,37.89,C0176617,Revision or removal of pacemaker device
413,37.91,C0190043,Open chest cardiac massage
414,37.94,C0176619,"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]"
415,37.96,C0189868,Implantation of automatic cardioverter/defibrillator pulse generator only
416,37.98,C0189870,Replacement of automatic cardioverter/defibrillator pulse generator only
417,37.99,C0161892,Other operations on heart and pericardium
418,370.00,C0010043,"Corneal ulcer, unspecified"
419,370.60,C0085109,"Corneal neovascularization, unspecified"
420,370.9,C0022568,Unspecified keratitis
421,371.00,C0010038,"Corneal opacity, unspecified"
422,371.20,C0010037,"Corneal edema, unspecified"
423,371.43,C0155120,Band-shaped keratopathy
424,372.10,C0155145,"Chronic conjunctivitis, unspecified"
425,372.40,C4520843,"Pterygium, unspecified"
426,372.63,C0152454,Symblepharon
427,372.64,C0155164,Scarring of conjunctiva
428,374.00,C0014390,"Entropion, unspecified"
429,374.10,C0013592,"Ectropion, unspecified"
430,374.30,C0005745,"Ptosis of eyelid, unspecified"
431,374.34,C0005742,Blepharochalasis
432,374.41,C0155204,Lid retraction or lag
433,374.84,C0155218,Cysts of eyelids
434,374.87,C0010495,Dermatochalasis
435,374.89,C0155186,Other disorders of eyelid
436,375.15,C0043349,"Tear film insufficiency, unspecified"
437,375.20,C0152227,"Epiphora, unspecified as to cause"
438,375.52,C0155244,Stenosis of lacrimal punctum
439,375.56,C0155248,"Stenosis of nasolacrimal duct, acquired"
440,376.52,C0155282,Enophthalmos due to trauma or surgery
441,376.89,C0155284,Other orbital disorders
442,378.62,C0155340,Mechanical strabismus from other musculofascial disorders
443,379.23,C0042909,Vitreous hemorrhage
444,379.8,C0155384,Other specified disorders of eye and adnexa
445,38,C0161893,"Incision, excision, and occlusion of vessels"
446,38.06,C0190578,"Incision of vessel, abdominal arteries"
447,38.12,C0176629,"Endarterectomy, other vessels of head and neck"
448,38.18,C0190863,"Endarterectomy, lower limb arteries"
449,38.44,C0190338,"Resection of vessel with replacement, aorta, abdominal"
450,38.45,C0176642,"Resection of vessel with replacement, thoracic vessels"
451,38.7,C0191172,Interruption of the vena cava
452,38.91,C0007431,Arterial catheterization
453,38.93,C0162203,"Venous catheterization, not elsewhere classified"
454,38.94,C0085290,Venous cutdown
455,38.95,C0191126,Venous catheterization for renal dialysis
456,38.97,C2921047,Central venous catheter placement with guidance
457,38.98,C0176674,Other puncture of artery
458,38.99,C0176675,Other puncture of vein
459,380,C0155388,Disorders of external ear
460,381.1,C0155421,Chronic serous otitis media
461,381.2,C1455742,Chronic mucoid otitis media
462,381.4,C0271446,"Nonsuppurative otitis media, not specified as acute or chronic"
463,381.9,C0271468,Unspecified Eustachian tube disorder
464,382.9,C0029882,Unspecified otitis media
465,383,C0155442,Mastoiditis and related conditions
466,384.1,C0395849,Chronic myringitis without mention of otitis media
467,384.2,C0206504,Perforation of tympanic membrane
468,384.3,,
469,384.9,C0041825,Unspecified disorder of tympanic membrane
470,386.9,C0155523,Unspecified vertiginous syndromes and labyrinthine disorders
471,389,C0011053,Hearing loss
472,389.00,C0018777,"Conductive hearing loss, unspecified"
473,389.9,C1384666,Unspecified hearing loss
474,39.0,C0190388,Systemic to pulmonary artery shunt
475,39.1,C0021859,Intra-abdominal venous shunt
476,39.2,C0176677,Other shunt or vascular bypass
477,39.27,C0189693,Arteriovenostomy for renal dialysis
478,39.29,C0029480,Other (peripheral) vascular shunt or bypass
479,39.30,C0002998,Suture of unspecified blood vessel
480,39.31,C0398053,Suture of artery
481,39.42,C2937354,Revision of arteriovenous shunt for renal dialysis
482,39.49,C0176685,Other revision of vascular procedure
483,39.50,C1456093,Angioplasty of other non-coronary vessel(s)
484,39.56,C0176688,Repair of blood vessel with tissue patch graft
485,39.57,C0176689,Repair of blood vessel with synthetic patch graft
486,39.59,C0029725,Other repair of vessel
487,39.61,C0015355,Extracorporeal circulation auxiliary to open heart surgery
488,39.64,C0199655,Intraoperative cardiac pacemaker
489,39.79,C2712581,Other endovascular procedures on other vessels
490,39.90,C2712582,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
491,39.93,C0189622,Insertion of vessel-to-vessel cannula
492,39.95,C0019004,Hemodialysis
493,394.1,C0155563,Rheumatic mitral insufficiency
494,396.0,C0155572,Mitral valve stenosis and aortic valve stenosis
495,396.2,C1306822,Mitral valve insufficiency and aortic valve stenosis
496,396.3,C0264774,Mitral valve insufficiency and aortic valve insufficiency
497,396.8,C0155576,Multiple involvement of mitral and aortic valves
498,397.0,C0264776,Diseases of tricuspid valve
499,398.91,C0155582,Rheumatic heart failure (congestive)
500,40,C0600057,Operations on lymphatic system
501,40.21,C0193857,Excision of deep cervical lymph node
502,40.29,C0176700,Simple excision of other lymphatic structure
503,401.0,C0024588,Malignant essential hypertension
504,401.1,C0155583,Benign essential hypertension
505,401.9,C0085580,Unspecified essential hypertension
506,402.90,C1135332,Unspecified hypertensive heart disease without heart failure
507,402.91,C1135333,Unspecified hypertensive heart disease with heart failure
508,403.90,C0494574,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
509,403.91,C0348860,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
